store_group,store_id,promo_period_int,period_num,period_year,weekly_velocity_amount,weekly_velocity_quantity
baseline_control,2,50,11,2018,22.49,1.25
baseline_control,31,51,12,2018,23.74,1.25
baseline_control,31,53,1,2019,22.49,1.25
film_control,9,53,1,2019,19.99,1.25
baseline_control,28,62,10,2019,22.49,1.25
baseline_control,21,64,12,2019,22.49,1.25
program_test,34,65,13,2019,21.24,1.25
film_control,41,65,13,2019,21.24,1.25
baseline_control,12,65,13,2019,23.24,1.25
baseline_control,37,72,7,2020,23.24,1.25
baseline_control,28,72,7,2020,22.49,1.25
baseline_control,31,74,9,2020,22.49,1.25
baseline_control,29,49,10,2018,25.73,1.5
baseline_control,10,51,12,2018,28.48,1.5
baseline_control,20,52,13,2018,26.98,1.5
baseline_control,37,58,6,2019,28.48,1.5
baseline_control,20,60,8,2019,28.48,1.5
baseline_control,16,60,8,2019,26.98,1.5
baseline_control,14,61,9,2019,24.48,1.5
baseline_control,21,62,10,2019,26.73,1.5
baseline_control,24,64,12,2019,29.98,1.5
baseline_control,28,64,12,2019,26.98,1.5
baseline_control,15,65,13,2019,27.48,1.5
film_control,41,67,2,2020,26.98,1.5
baseline_control,15,71,6,2020,26.98,1.5
baseline_control,28,75,10,2020,26.98,1.5
baseline_control,20,76,11,2020,28.48,1.5
baseline_control,22,47,8,2018,33.23,1.75
baseline_control,37,47,8,2018,33.23,1.75
baseline_control,31,52,13,2018,31.48,1.75
baseline_control,40,56,4,2019,29.23,1.75
baseline_control,8,57,5,2019,33.23,1.75
baseline_control,21,58,6,2019,31.48,1.75
baseline_control,13,60,8,2019,29.23,1.75
film_control,38,60,8,2019,28.73,1.75
baseline_control,16,62,10,2019,30.98,1.75
baseline_control,2,63,11,2019,33.23,1.75
baseline_control,29,63,11,2019,26.23,1.75
baseline_control,39,64,12,2019,33.23,1.75
film_control,9,66,1,2020,28.98,1.75
baseline_control,8,67,2,2020,33.23,1.75
baseline_control,20,73,8,2020,33.23,1.75
baseline_control,28,76,11,2020,31.48,1.75
baseline_control,12,47,8,2018,37.98,2
baseline_control,27,51,12,2018,37.98,2
baseline_control,35,51,12,2018,37.98,2
baseline_control,32,52,13,2018,35.98,2
baseline_control,15,54,2,2019,35.98,2
baseline_control,24,55,3,2019,32.98,2
baseline_control,21,56,4,2019,33.98,2
baseline_control,23,56,4,2019,33.48,2
baseline_control,32,60,8,2019,39.98,2
baseline_control,40,61,9,2019,32.23,2
film_control,41,70,5,2020,34.23,2
baseline_control,14,76,11,2020,31.98,2
baseline_control,40,48,9,2018,40.48,2.25
film_control,9,51,12,2018,37.98,2.25
baseline_control,40,52,13,2018,37.98,2.25
film_control,38,55,3,2019,35.23,2.25
baseline_control,32,58,6,2019,44.98,2.25
program_test,36,61,9,2019,37.73,2.25
film_control,38,61,9,2019,37.73,2.25
film_control,41,62,10,2019,38.23,2.25
baseline_control,10,63,11,2019,40.48,2.25
baseline_control,30,64,12,2019,40.48,2.25
baseline_control,7,66,1,2020,40.48,2.25
baseline_control,12,68,3,2020,40.48,2.25
